Fs_[Hz]   	1000,00000000
Tempo[s]  	Eixo_x 	Eixo_y 	Eixo_z 	Sinal_4
5,43400000	0,04440749	0,04973621	-0,01543760	0,00000000
5,43500000	0,18747161	0,14197427	0,03299165	0,00000000
5,43600000	-0,18327090	0,05477442	0,04320039	0,00000000
5,43700000	0,08497433	0,04818599	-0,04618831	0,00000000
5,43800000	0,08749475	0,00788028	-0,02402788	0,00000000
5,43900000	-0,01116188	-0,13538584	0,08826823	0,00000000
5,44000000	-0,11149880	-0,15618462	0,02963024	0,00000000
5,44100000	0,16106716	-0,03513831	-0,04133294	0,00000000
5,44200000	-0,03996674	0,10709433	-0,02838527	0,00000000
5,44300000	-0,10717807	0,19351907	0,03697555	0,00000000
5,44400000	-0,12326078	-0,01188502	-0,00261443	0,00000000
5,44500000	0,21387606	-0,09081703	0,00908827	0,00000000
5,44600000	0,16718819	0,00116266	-0,04407187	0,00000000
5,44700000	-0,23391944	-0,02932499	0,03348964	0,00000000
5,44800000	0,13130214	-0,02183226	0,07420009	0,00000000
5,44900000	0,07417251	-0,01537301	-0,02813628	0,00000000
5,45000000	-0,22515796	0,06317145	-0,05515208	0,00000000
5,45100000	0,08509435	0,11768750	0,01319666	0,00000000
5,45200000	0,09385583	0,04366452	0,08789474	0,00000000
5,45300000	-0,11245896	-0,22542776	-0,01780304	0,00000000
5,45400000	0,16394764	-0,09159214	-0,06199941	0,00000000
5,45500000	-0,14450437	-0,02506188	0,03124870	0,00000000
5,45600000	0,15998698	0,13344807	0,07843298	0,00000000
5,45700000	0,02100354	0,13125192	-0,03548159	0,00000000
5,45800000	-0,09313570	0,08332430	-0,05465409	0,00000000
5,45900000	-0,05700961	-0,04250185	0,01767855	0,00000000
5,46000000	0,09217554	-0,07996549	0,02726480	0,00000000
5,46100000	-0,28240762	-0,20178691	0,02328090	0,00000000
5,46200000	0,27460630	-0,12298408	-0,03448561	0,00000000
5,46300000	0,04908828	0,18253835	-0,04481885	0,00000000
